Type,Haplotype,Clone,tool,AUROC,AUPRC,Accuracy,Precision,Recall,F1 Score,Kappa,Brier Score,Specificity,PPV,NPV
CN_Loss,minor,clone6,chisel_5x_acCNA,0.5322653284436724,0.2863881991130492,0.7543859649122807,0.24050632911392406,0.1919191919191919,0.21348314606741572,0.07012514857023,0.24561403508771928,0.8726114649681529,0.24050632911392406,0.8370672097759674
CN_Loss,minor,clone7,chisel_5x_acCNA,0.5265033002967239,0.291724952911113,0.7385964912280701,0.24390243902439024,0.18691588785046728,0.21164021164021163,0.058237785810915654,0.2614035087719298,0.8660907127429806,0.24390243902439024,0.8217213114754098
CN_Loss,minor,clone8,chisel_5x_acCNA,0.4927849927849928,0.22548036758563073,0.7298245614035088,0.17142857142857143,0.1111111111111111,0.1348314606741573,-0.01667824878387769,0.27017543859649124,0.8744588744588745,0.17142857142857143,0.808
CN_Loss,minor,clone9,chisel_5x_acCNA,0.5415464165464166,0.3195971018577233,0.7456140350877193,0.27710843373493976,0.21296296296296297,0.24083769633507854,0.09117899320445999,0.2543859649122807,0.8701298701298701,0.27710843373493976,0.8254620123203286
CN_Loss,major,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_Loss,major,clone1,chisel_5x_acCNA,0.4946714031971581,0.0061403508771929825,0.9771929824561404,0.0,0.0,0.0,-0.011466011466011672,0.02280701754385965,0.9893428063943162,0.0,0.9875886524822695
CN_Loss,major,clone2,chisel_5x_acCNA,0.4946808510638298,0.005263157894736842,0.9789473684210527,0.0,0.0,0.0,-0.010638297872340274,0.021052631578947368,0.9893617021276596,0.0,0.9893617021276596
CN_Loss,major,clone3,chisel_5x_acCNA,0.4946714031971581,0.0061403508771929825,0.9771929824561404,0.0,0.0,0.0,-0.011466011466011672,0.02280701754385965,0.9893428063943162,0.0,0.9875886524822695
CN_Loss,major,clone4,chisel_5x_acCNA,0.4946714031971581,0.0061403508771929825,0.9771929824561404,0.0,0.0,0.0,-0.011466011466011672,0.02280701754385965,0.9893428063943162,0.0,0.9875886524822695
CN_Loss,major,clone5,chisel_5x_acCNA,0.4946808510638298,0.005263157894736842,0.9789473684210527,0.0,0.0,0.0,-0.010638297872340274,0.021052631578947368,0.9893617021276596,0.0,0.9893617021276596
CN_Loss,major,clone6,chisel_5x_acCNA,0.4946808510638298,0.005263157894736842,0.9789473684210527,0.0,0.0,0.0,-0.010638297872340274,0.021052631578947368,0.9893617021276596,0.0,0.9893617021276596
CN_Loss,major,clone7,chisel_5x_acCNA,0.4946808510638298,0.005263157894736842,0.9789473684210527,0.0,0.0,0.0,-0.010638297872340274,0.021052631578947368,0.9893617021276596,0.0,0.9893617021276596
CN_Loss,major,clone8,chisel_5x_acCNA,0.4946714031971581,0.0061403508771929825,0.9771929824561404,0.0,0.0,0.0,-0.011466011466011672,0.02280701754385965,0.9893428063943162,0.0,0.9875886524822695
CN_Loss,major,clone9,chisel_5x_acCNA,0.4946808510638298,0.005263157894736842,0.9789473684210527,0.0,0.0,0.0,-0.010638297872340274,0.021052631578947368,0.9893617021276596,0.0,0.9893617021276596
CN_equal_2,minor,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_2,minor,clone1,chisel_5x_acCNA,0.5053839364518976,0.15798043276440762,0.8105263157894737,0.1044776119402985,0.12727272727272726,0.11475409836065573,0.009811806337461815,0.18947368421052632,0.883495145631068,0.1044776119402985,0.904572564612326
CN_equal_2,minor,clone2,chisel_5x_acCNA,0.547311320754717,0.18701188455008488,0.8673684210526316,0.14112903225806453,0.175,0.15625,0.0851732336956521,0.13263157894736843,0.919622641509434,0.14112903225806453,0.936587240584166
CN_equal_2,minor,clone3,chisel_5x_acCNA,0.4837550607287449,0.18454176084382737,0.7333333333333333,0.1114519427402863,0.14342105263157895,0.12543153049482164,-0.028973734091524372,0.26666666666666666,0.8240890688259109,0.1114519427402863,0.8621346886912326
CN_equal_2,minor,clone4,chisel_5x_acCNA,0.5106925240215608,0.22200273702158208,0.7315789473684211,0.13043478260869565,0.22058823529411764,0.16393442622950818,0.016465546408029774,0.26842105263157895,0.8007968127490039,0.13043478260869565,0.8835164835164835
CN_equal_2,minor,clone5,chisel_5x_acCNA,0.5420370840741682,0.23640383780155566,0.7894736842105263,0.16279069767441862,0.22580645161290322,0.1891891891891892,0.07186278766825871,0.21052631578947367,0.8582677165354331,0.16279069767441862,0.9008264462809917
CN_equal_2,minor,clone6,chisel_5x_acCNA,0.5252450980392157,0.21067598930060577,0.7807017543859649,0.13565022421524664,0.20166666666666666,0.16219839142091153,0.041565778853914326,0.21929824561403508,0.8488235294117648,0.13565022421524664,0.9003743760399334
CN_equal_2,minor,clone7,chisel_5x_acCNA,0.5241783405172413,0.21464944584427254,0.7631578947368421,0.1262135922330097,0.22413793103448276,0.16149068322981366,0.03598005562376294,0.23684210526315788,0.82421875,0.1262135922330097,0.9036402569593148
CN_equal_2,minor,clone8,chisel_5x_acCNA,0.48073773533559283,0.21044298192946648,0.6950877192982456,0.12292358803986711,0.1783132530120482,0.14552605703048183,-0.032458030923923964,0.3049122807017544,0.7831622176591376,0.12292358803986711,0.8483096085409253
CN_equal_2,minor,clone9,chisel_5x_acCNA,0.5127423389618512,0.24364644643282413,0.7175438596491228,0.15126050420168066,0.23076923076923078,0.18274111675126906,0.02086934255169326,0.2824561403508772,0.7947154471544715,0.15126050420168066,0.8669623059866962
